title,genre,sentiment,web_demand,competitor_price,price,sentiment_state
Maargan Part 1,Drama/Romance,0.09497655108360505,80.17219002454924,837.1651421518383,1092.1405675321407,low
Jurassic World: Rebirth Part 1,Action/Drama/Sports,0.2779041292200138,73.7265320016441,318.5260448662222,695.980514552188,high
F1: The Movie Part 1,Action/Drama/Sports,0.2733095239059744,10.070088925691289,1192.9904033620958,1222.3338927749535,high
DNA Part 1,Action/Sci-Fi/Thriller,0.42419622715660343,48.87505167779042,562.1062261782376,806.8028405406897,high
Kuberaa Part 1,Crime/Thriller,0.046818258978177235,97.63799669573133,509.49420638727383,856.9509631693038,low
Maargan Part 2,Horror/Thriller,0.13705250390757492,56.28109945722505,833.1731119758382,1036.7649208135585,medium
Jurassic World: Rebirth Part 2,Crime/Thriller,0.14170111096631754,50.54493267725887,311.9384650438799,609.6551982300161,medium
F1: The Movie Part 2,Action/Sci-Fi/Thriller,0.33993613100811954,71.58097238609412,696.1372443656412,982.4772398620671,high
DNA Part 2,Drama/Romance,0.2630228193897037,25.602818815699486,651.9545468159167,830.6208911213789,high
Kuberaa Part 2,Action/Drama/Sports,0.12348808860773577,56.80612190600297,792.0392514089517,1010.5498031486943,medium
Maargan Part 3,Horror/Thriller,-0.01783342468237087,93.39929792144147,954.5447962707788,1178.8006219943486,low
Jurassic World: Rebirth Part 3,Drama/Romance,0.13843517176117595,44.98095607205338,544.2141285965063,764.0724133876755,medium
F1: The Movie Part 3,Comedy/Drama,0.4960816300148637,64.63308229180163,548.399263820289,876.0032133624271,high
DNA Part 3,Comedy/Drama,0.5082122794713039,75.61064512368885,994.1433120173511,1273.889331237699,high
Kuberaa Part 3,Comedy/Drama,0.4711587012326016,92.34637079894027,1065.0347200108195,1362.5231778835825,high
Maargan Part 4,Action/Drama/Social/Thriller,0.4520825762154711,37.9884089544096,592.6649898240723,834.1305160276453,high
Jurassic World: Rebirth Part 4,Crime/Thriller,-0.05741552869440547,60.5119083262931,644.6341872784109,867.944085482674,low
F1: The Movie Part 4,Drama/Romance,0.24729635337557876,60.51494778125466,993.8704619591049,1195.4121239851966,high
